YEAR,SEX,AGEGRP,COUNT,POPULATION,WEIGHT,COUNT_ACCIDENTS,COUNT_ALZHEIMER,COUNT_CANCER,COUNT_CEREBROVASCULAR,COUNT_DIABETES,COUNT_FLU_PNEUMONIA,COUNT_HEART,COUNT_KIDNEY,COUNT_LIVER,COUNT_RESPIRATORY,COUNT_SUICIDE,AMR_ACCIDENTS,AMR_ALZHEIMER,AMR_CANCER,AMR_CEREBROVASCULAR,AMR_DIABETES,AMR_FLU_PNEUMONIA,AMR_HEART,AMR_KIDNEY,AMR_LIVER,AMR_RESPIRATORY,AMR_SUICIDE
2005,M,0-4,1260,"1,315,045",0.069,131,0,50,6,0,13,20,1,4,9,0,0.687,0,0.262,0.031,0,0.068,0.105,0.005,0.021,0.047,0
2005,M,5-9,374,"1,698,879",0.073,199,0,56,4,0,3,4,2,0,3,0,0.855,0,0.241,0.017,0,0.013,0.017,0.009,0,0.013,0
2005,M,10-14,295,"1,844,524",0.073,105,0,63,3,1,1,15,1,1,1,10,0.416,0,0.249,0.012,0.004,0.004,0.059,0.004,0.004,0.004,0.04
2005,M,15-19,574,"1,621,106",0.072,229,0,76,3,1,2,26,1,0,1,101,1.017,0,0.338,0.013,0.004,0.009,0.115,0.004,0,0.004,0.449
2005,M,20-24,1031,"1,969,021",0.066,370,0,92,10,4,6,30,5,2,4,266,1.24,0,0.308,0.034,0.013,0.02,0.101,0.017,0.007,0.013,0.892
2005,M,25-29,1456,"1,981,697",0.065,540,0,128,26,14,1,70,8,12,3,408,1.771,0,0.42,0.085,0.046,0.003,0.23,0.026,0.039,0.01,1.338
2005,M,30-34,2000,"2,240,142",0.071,562,0,236,63,17,5,120,12,48,2,546,1.781,0,0.748,0.2,0.054,0.016,0.38,0.038,0.152,0.006,1.731
2005,M,35-39,3176,"2,184,835",0.081,740,0,469,164,51,17,227,16,203,12,651,2.743,0,1.739,0.608,0.189,0.063,0.842,0.059,0.753,0.044,2.414
2005,M,40-44,5141,"2,165,148",0.082,876,0,1015,336,147,23,382,34,635,19,738,3.318,0,3.844,1.273,0.557,0.087,1.447,0.129,2.405,0.072,2.795
2005,M,45-49,8428,"2,000,124",0.072,1073,0,2079,569,332,47,633,66,1145,32,972,3.863,0,7.484,2.048,1.195,0.169,2.279,0.238,4.122,0.115,3.499
